1413954669552,"<p>Where are the glomeruli and what do they do?Renal cortex. Filter blood from the afferent arterioles.</p>

<div>&nbsp;</div>

<div><img src=""paste-23141283791373.jpg"" /></div>
","<p>Where are the glomeruli and what do they do?</p>"
1413954815306,"Histological structure of normal glomerulus<img src=""paste-23192823398919.jpg"" /><div><br /></div><div><b>Urinary pole</b> where urine flows out is on far side.</div><div><b>Vascular pole</b> where blood comes and leaves is on the close side (afferent and efferent)</div><div><br /></div><div>1) Surrounds glomerulus</div><div>2) Line Bowman's space</div><div>3) Where urine is filtered into</div><div>4) Coat the glomerular ""tuft""</div><div>5) Little thin loops within the tuft</div><div>6) Basement membrane of capillaries</div><div>7) Afferent arteriole cells</div><div>8) Branched structure in the middle of the glomerular tuft, means ""middle vessels"", capillaries wind themselves around the mesangium</div>","Histological structure of normal glomerulus"
1413955187043,"EM of Glomerulus; name the parts<img src=""paste-23330262352402.jpg"" /><div><br /></div><div>1) Makes foot processes</div><div>2) Provides basement membrane for blood to be filtered across</div><div>3) Divides inner portion of capillary loop from urinary space</div><div>4) Where the blood input comes from</div><div>5) Matrix for capillaries to wind around</div><div>6) From the visceral epithelial cells, they line outer part of capillary loop</div><div>7) The space between foot processes and endothelial fenestrations</div><div>8) The blood side of the filter</div><div><br /></div><div><br /></div><div><img src=""paste-23394686861843.jpg"" /></div><div><br /></div><div>Don't need to distinguish the layers of the lamina</div>","EM of Glomerulus; name the parts"
1413955420794,"<b>Immune Mediated</b> glomerular disease types<img src=""paste-46063524249886.jpg"" /><div><br /></div>","Immune Mediated glomerular disease types"
1413955445404,"Define <b>diffuse</b>, <b>focal</b>, <b>global</b>, and <b>segmental</b> disease<img src=""paste-23463406338285.jpg"" /><div><br /></div><div>1) Most or all glomeruli are involved</div><div><br /></div><div>2) Some glomeruli involved</div><div><br /></div><div>3) Entire glomerulus</div><div><br /></div><div>4) Part of glomerulus</div>","Define diffuse, focal, global, and segmental disease"
1413955508703,"3 main presentations of Glomerular Disease<img src=""paste-23549305684471.jpg"" /><div><br /></div><div>RPGN</div><div><br /></div><div><img src=""paste-50508815401215.jpg"" /></div><div><br /></div><div><img src=""paste-50620484550917.jpg"" /></div><div><br /></div><div><img src=""paste-50641959387394.jpg"" /></div>","3 main presentations of Glomerular Disease"
1413955587111,"<b>Acute Nephritic Syndrome</b><img src=""paste-23618025161205.jpg"" /><div><br /></div><div><img src=""paste-49538152792317.jpg"" /><br /><div><br /></div><div><img src=""paste-46737834115303.jpg"" /><br /><div><br /></div><div><img src=""paste-46716359279008.jpg"" /></div><div><br /></div></div></div>","Acute Nephritic Syndrome"
1413955676613,"<b>RPGN</b> clinical signs and symptoms<img src=""paste-23746874180084.jpg"" /><div><br /></div><div><img src=""paste-51135880626436.jpg"" /></div><div><br /></div><div>Signs and symptoms of <b>severe nephritic syndrome</b></div>","RPGN clinical signs and symptoms"
1413955759249,"<b>Nephrotic Syndrome</b><img src=""paste-23815593656740.jpg"" /><div><br /></div><div>Due to altered foot processes of visceral epithelium<br /><div><br /></div><div><img src=""paste-50122268344576.jpg"" /></div></div>","Nephrotic Syndrome"
1413955823331,"Causes of <b>nephrotic syndrome</b><div>Mostly:</div><div><br /></div><div>- <b>Minimal change disease</b> in <b>children</b></div><div><b><br /></b></div><div><b><img src=""paste-64656437674243.jpg"" /></b></div><div><b><br /></b></div><div>- <b>Focal segmental glomerulonephritis</b>&nbsp;and&nbsp;</div><div><b>- Membranous glomerulopathy</b> in <b>adults</b></div><div><b><br /></b></div><div>Can also be caused by <b>systemic diseases&nbsp;</b></div><div><br /></div><img src=""paste-23858543329792.jpg"" /><div><br /></div><div><br /></div>","Causes of nephrotic syndrome"
1413955866375,"<b>Nephritic</b> and N<b>ephrotic</b> damage <b>basement membrane</b> in different ways...<img src=""paste-23901493002716.jpg"" /><div><br /></div><div>Nephrotic- foot process abnormality</div><div><br /></div><div>Nephritic- inflammation and thrombosis of endothelium</div>","Nephritic and Nephrotic damage basement membrane in different ways..."
1413955958392,"First <b>two</b> major mechanisms of I<b>mmune Mediated Glomerulonephritis</b><img src=""paste-24013162152416.jpg"" />","First two major mechanisms of Immune Mediated Glomerulonephritis"
1413956005977,"Possible locations of <b>immune complex deposition</b> in the glomerulus<img src=""paste-24056111825427.jpg"" /><div><br /></div><div>The ones that matter to us:</div><div><br /></div><div>1) Epithelial = <b>nephrotic</b></div><div><br /></div><div>3) Endothelial = <b>nephritic</b></div><div><br /></div><div>4) Mesangium = <b>both</b></div>","Possible locations of immune complex deposition in the glomerulus"
1413956066282,"Two types of <b>immunofluorescence deposition patterns</b><div><b>Linear</b> and <b>Granular</b> (lumpy)</div><div><br /></div><img src=""paste-24124831302156.jpg"" />","Two types of immunofluorescence deposition patterns"
1413956131223,"<div>Acute Infection Related Glomerulonephritis (<b>AIRGN</b>):</div><div><br /></div><div>Cause, pathogenesis, immunofluorescence pattern</div><div>Post Infectious or Post Streptococcal</div><div><br /></div><img src=""paste-24206435680644.jpg"" /><div><br /></div><div><img src=""paste-24288040059358.jpg"" /></div><div><br /></div><div>a proliferative glomerulonephritis</div><div><br /></div><div><img src=""paste-24309514895879.jpg"" /></div><div><br /></div><div><img src=""paste-24322399797763.jpg"" /></div><div><br /></div><div><img src=""paste-24352464568838.jpg"" /></div>","Acute Infection Related Glomerulonephritis (AIRGN):Cause, pathogenesis, immunofluorescence pattern"
1413956267465,"<img src=""paste-24386824307121.jpg"" /><b>A</b><div><b><br /></b></div><div><b><img src=""paste-53846004990270.jpg"" /></b></div><div><b><br /></b></div><div>Infection: IgG</div>"," paste-24386824307121.jpg "
1413956312383,"<b>Crescentic </b>Glomerulonephritis<img src=""paste-24421184045403.jpg"" /><div><br /></div><div><img src=""paste-24442658882057.jpg"" /></div><div><br /></div><div><img src=""paste-54520314855681.jpg"" /></div><div><br /></div>","Crescentic Glomerulonephritis"
1413956407937,"First <b>two </b>subtypes of <b>RPGN</b><img src=""paste-24464133718541.jpg"" /><div><br /></div><div><u>Type I:&nbsp;</u></div><div>- Anti-glomerular basement membrane disease.&nbsp;</div><div>- <b>Linear IgG</b> deposition</div><div>- Worst and rarest.&nbsp;</div><div><br /></div><div><img src=""paste-55972013801802.jpg"" /></div><div><br /></div>","First two subtypes of RPGN"
1413956481037,"RPGN Type I <b>Goodpastures immunofluorescence</b> pattern<img src=""paste-24571507900934.jpg"" />","RPGN Type I Goodpastures immunofluorescence pattern"
1413956507592,"<b>Type III</b> RPGN<img src=""paste-24614457573853.jpg"" /><div><br /></div><div><b>Most common</b></div><div><br /></div><div><b>No immunofluorescence picture &nbsp;</b></div><div><br /></div><div><b>pANCA</b> = myeloperoxidase</div><div><br /></div><div><b>cANCA</b> = proteinase 3</div>","Type III RPGN"
1413956611881,"p and c <b>ANCA</b><img src=""paste-24704651887133.jpg"" /><div><br /></div><div>pANCA = perinuclear = myeloperoxidase</div><div><br /></div><div>cANCA = cytoplasmic = proteinase 3</div>","p and c ANCA"
1413956633122,"<img src=""paste-24739011625417.jpg"" /><b>A</b><div><br /></div><div><img src=""paste-58278411239710.jpg"" /></div><div><br /></div>"," paste-24739011625417.jpg "
1413956695571,"<b>Membranous</b>&nbsp;Nephropathy<div>Common cause of <b>nephrotic syndrome</b> in adults</div><div><br /></div><div><b>Subepithelial</b> immune complex deposition</div><div><br /></div><div><b>Phospholipase A2 receptor</b> resides in foot process</div><div><br /></div><div><b>Complement</b> mediated</div><div><br /></div><div>Thick, saw-toothed, spiked glomerular basement membrane</div><div><br /></div><div><img src=""paste-24876450578940.jpg"" /></div><div><br /></div><div><br /></div><img src=""paste-24790551233028.jpg"" /><div><br /></div><div><img src=""paste-24803436134904.jpg"" /></div><div><br /></div><div><img src=""paste-24816321036815.jpg"" /></div><div><br /></div><div><img src=""paste-24829205938698.jpg"" /></div><div><br /></div><div><img src=""paste-24842090840601.jpg"" /><br /><div><br /></div><div><br /></div></div>","Membranous Nephropathy"
1413956925841,"<b>Membranoproliferative</b> Glomerulonephritis<div>Most common cause is abnormal immune reaction to <b>hepatitis C infection</b></div><div><br /></div><div>Most glomeruli involved (<b>diffuse</b>)</div><div><br /></div><div><b>Double basement membranes</b></div><div><br /></div><img src=""paste-24945170055601.jpg"" /><div><br /></div><div><img src=""paste-25061134172619.jpg"" />&nbsp;</div><div><br /></div><div><img src=""paste-25074019074504.jpg"" /></div><div><br /></div><div><img src=""paste-25099788878274.jpg"" /></div><div><br /></div><div>dark material in subendothelial location</div>","Membranoproliferative Glomerulonephritis"
1413957424520,"<b>IgA</b> Nephropathy<b>Most common primary glomerulonephritis</b> in the world<div><br /></div><div>Big in Asia and Australia&nbsp;</div><div><br /></div><div>Accumulation of <b>IgA</b> in <b>mesangium&nbsp;</b></div><div><br /></div><div><img src=""paste-25177098289480.jpg"" /></div><div><br /></div><div><img src=""paste-25198573126099.jpg"" /></div><div><br /></div><div><img src=""paste-25220047962592.jpg"" /></div><div><br /></div><div><img src=""paste-25232932864469.jpg"" /></div><div><br /></div><div><img src=""paste-25245817766413.jpg"" /></div><div><br /></div><div><img src=""paste-25258702668288.jpg"" /></div><div><br /></div><div><img src=""paste-25271587570154.jpg"" /></div>","IgA Nephropathy"
1413957652919,"Summary of diagnosis of glomerular disease<img src=""paste-25305947308547.jpg"" />","Summary of diagnosis of glomerular disease"
1414032399652,"What is <b>Azotemia</b> and <b>when</b> is it elevated?<img src=""paste-47025596924015.jpg"" />","What is Azotemia and when is it elevated?"
